tau	g_0_tau_up
27.5	(0.0002441215272137665-0.005125852411633124j)
27.5625	(-4.439934474170532e-06-0.005121931761565113j)
27.625	(0.00024322846031588465-0.005107102363891475j)
27.6875	(-4.3850557482922464e-06-0.005103253095159317j)
27.75	(0.00024234462392960397-0.005088538033054316j)
27.8125	(-4.3305389275482935e-06-0.005084759207373802j)
27.875	(0.00024146973828387307-0.005070157088606045j)
27.9375	(-4.2765407610766484e-06-0.005066447748195693j)
28.0	(0.00024060353252791265-0.0050519571683989095j)
28.0625	(-4.2231899459702245e-06-0.005048316342132783j)
28.125	(0.00023974578378600786-0.005033935897041219j)
28.1875	(-4.170557000660394e-06-0.005030362617217649j)
28.25	(0.0002388963357704858-0.005016090921653213j)
28.3125	(-4.118647989388279e-06-0.005012584243320781j)
28.375	(0.00023805509315312588-0.004998419948806327j)
28.4375	(-4.0674203059423535e-06-0.0049949789644830505j)
28.5	(0.0002372219978597173-0.004980920769971636j)
28.5625	(-4.016811661644061e-06-0.004977544616160373j)
28.625	(0.00023639699714847126-0.004963591270035537j)
28.6875	(-3.966772652273538e-06-0.004960279125012639j)
28.75	(0.00023558001225751704-0.004946429418674597j)
28.8125	(-3.91729502471818e-06-0.004943180492374144j)
28.875	(0.0002347709149106269-0.004929433246652227j)
28.9375	(-3.868428485001574e-06-0.004926246764442479j)
29.0	(0.00023396951889994612-0.004912600811509639j)
29.0625	(-3.82027911395447e-06-0.004909475995772977j)
29.125	(0.0002331755925080413-0.004895930161867543j)
29.1875	(-3.772986121224585e-06-0.004892866217889844j)
29.25	(0.00023238889112657752-0.004879419313969098j)
29.3125	(-3.7266824919448063e-06-0.00487641542695678j)
29.375	(0.00023160919931140573-0.004863066252649345j)
29.4375	(-3.6814549061060103e-06-0.0048601215986708145j)
29.5	(0.00023083636397494773-0.0048468689589714516j)
29.5625	(-3.637321557570846e-06-0.004843982725672699j)
29.625	(0.00023007030260131399-0.004830825453004479j)
29.6875	(-3.5942388720458344e-06-0.004827996860467596j)
29.75	(0.0002293109825032215-0.0048149338316499975j)
29.8125	(-3.5521333779276083e-06-0.004812162143700496j)
29.875	(0.00022855838195095027-0.004799192284354865j)
29.9375	(-3.5109426493253222e-06-0.004796476806106233j)
30.0	(0.00022781245183344607-0.004783599081937807j)
30.0625	(-3.4706470100026414e-06-0.004780939146411387j)
30.125	(0.0002270730932245591-0.004768152546828539j)
30.1875	(-3.4312813796573416e-06-0.004765547497591335j)
30.25	(0.0002263401559811926-0.004752851018848189j)
30.3125	(-3.392927259735206e-06-0.004750300195073818j)
30.375	(0.00022561345442460986-0.004737692827947159j)
30.4375	(-3.3556911879502153e-06-0.004735195555347084j)
30.5	(0.0002248927929174244-0.0047226762794180715j)
30.5625	(-3.319676638188513e-06-0.004720231868171763j)
30.625	(0.00022417799498188886-0.004707799653403873j)
30.6875	(-3.284955328464439e-06-0.00470540740363516j)
30.75	(0.00022346892977128784-0.004693061219607919j)
30.8125	(-3.251544974285439e-06-0.004690720434285588j)
30.875	(0.00022276552771977607-0.004678459265986182j)
30.9375	(-3.2194024597127432e-06-0.004676169268598887j)
31.0	(0.00022206777668221924-0.004663992134239344j)
31.0625	(-3.188439188496657e-06-0.004661752284937985j)
31.125	(0.00022137569552044614-0.004649658248221304j)
31.1875	(-3.1585564733119416e-06-0.004647467950534969j)
31.25	(0.00022068929322004898-0.004635456120481j)
31.3125	(-3.129687232309407e-06-0.00463331481401193j)
31.375	(0.00022000853138360796-0.00462138433101578j)
31.4375	(-3.101824544492291e-06-0.00461929147255081j)
31.5	(0.00021933330817166174-0.004607441486709312j)
